,FTSEMIB payout,HSCEI payout,NDX payout,Triggered,Above Strike Lvl,, FTSEMIB payout (USD)  , HSCEI payout (USD) , NDX payout (USD) ,, AveragePayout Sum (USD) ,, Average Payout 
149,8234.161717,3845.690734,3070.519112,0,0,," $ 9,180.69 ", $ 494.56 ," $ 3,070.52 ",," $ 12,745.77 ",,
150,13898.85737,6491.335588,5182.884262,0,0,," $ 15,496.55 ", $ 834.79 ," $ 5,182.88 ",," $ 21,514.22 ",,
151,18778.21016,8770.193167,7002.395043,0,0,," $ 20,936.79 "," $ 1,127.85 "," $ 7,002.40 ",," $ 29,067.04 ",,
152,7699.172745,3595.828975,2871.021711,0,0,," $ 8,584.20 ", $ 462.42 ," $ 2,871.02 ",," $ 11,917.65 ",,
153,12106.30384,5654.139679,4514.441006,0,0,," $ 13,497.94 ", $ 727.12 ," $ 4,514.44 ",," $ 18,739.50 ",,
154,15019.62973,7014.78218,5600.820305,0,0,," $ 16,746.16 ", $ 902.10 ," $ 5,600.82 ",," $ 23,249.08 ",,
155,6628.961939,3095.9967,2471.940074,0,0,," $ 7,390.97 ", $ 398.15 ," $ 2,471.94 ",," $ 10,261.06 ",,
156,21572.10872,10075.05821,8044.239886,0,0,," $ 24,051.85 "," $ 1,295.65 "," $ 8,044.24 ",," $ 33,391.75 ",,
157,6692.112622,3125.490656,2495.488966,0,0,," $ 7,461.38 ", $ 401.94 ," $ 2,495.49 ",," $ 10,358.81 ",,
158,10661.13467,4979.186494,3975.537386,0,0,," $ 11,886.65 ", $ 640.32 ," $ 3,975.54 ",," $ 16,502.51 ",,
159,13439.51989,6276.806177,5011.597307,0,0,," $ 14,984.41 ", $ 807.20 ," $ 5,011.60 ",," $ 20,803.21 ",,
160,9808.299831,4580.877699,3657.515254,0,0,," $ 10,935.78 ", $ 589.10 ," $ 3,657.52 ",," $ 15,182.39 ",,
161,7214.317845,3369.38188,2690.219306,0,0,," $ 8,043.61 ", $ 433.30 ," $ 2,690.22 ",," $ 11,167.14 ",,
162,34806.14226,16255.89385,12979.21133,0,0,," $ 38,807.16 "," $ 2,090.51 "," $ 12,979.21 ",," $ 53,876.88 ",,
163,9604.831172,4485.849502,3581.641786,0,0,," $ 10,708.92 ", $ 576.88 ," $ 3,581.64 ",," $ 14,867.44 ",,
164,8223.536287,3840.728223,3066.556889,0,0,," $ 9,168.84 ", $ 493.92 ," $ 3,066.56 ",," $ 12,729.32 ",,
165,8781.050262,4101.110081,3274.453864,0,0,," $ 9,790.45 ", $ 527.40 ," $ 3,274.45 ",," $ 13,592.30 ",,
166,6293.865479,2939.49293,2346.982596,0,0,," $ 7,017.35 ", $ 378.02 ," $ 2,346.98 ",," $ 9,742.36 ",,
167,13945.43638,6513.089896,5200.253579,0,0,," $ 15,548.49 ", $ 837.58 ," $ 5,200.25 ",," $ 21,586.32 ",,
168,10022.75903,4681.038926,3737.487093,0,0,," $ 11,174.89 ", $ 601.98 ," $ 3,737.49 ",," $ 15,514.36 ",,
169,10208.867,4767.958973,3806.886763,0,0,," $ 11,382.39 ", $ 613.16 ," $ 3,806.89 ",," $ 15,802.44 ",,
170,7555.419471,3528.690309,2817.416111,0,0,," $ 8,423.93 ", $ 453.79 ," $ 2,817.42 ",," $ 11,695.13 ",,
171,19378.99152,9050.782663,7226.426425,0,0,," $ 21,606.64 "," $ 1,163.93 "," $ 7,226.43 ",," $ 29,996.99 ",,
172,10976.15923,5126.315866,4093.010054,0,0,," $ 12,237.89 ", $ 659.24 ," $ 4,093.01 ",," $ 16,990.14 ",,
173,23231.184,10849.91431,8662.909097,0,0,," $ 25,901.64 "," $ 1,395.30 "," $ 8,662.91 ",," $ 35,959.85 ",,
174,13495.71836,6303.053162,5032.553716,0,0,," $ 15,047.07 ", $ 810.57 ," $ 5,032.55 ",," $ 20,890.20 ",,
175,22048.95827,10297.76648,8222.057097,0,0,," $ 24,583.52 "," $ 1,324.29 "," $ 8,222.06 ",," $ 34,129.87 ",,
176,10744.1492,5017.957679,4006.493507,0,0,," $ 11,979.21 ", $ 645.31 ," $ 4,006.49 ",," $ 16,631.01 ",,
177,11352.16196,5301.924537,4233.221479,0,0,," $ 12,657.11 ", $ 681.83 ," $ 4,233.22 ",," $ 17,572.16 ",,
178,22984.28783,10734.60369,8570.841511,0,0,," $ 25,626.37 "," $ 1,380.47 "," $ 8,570.84 ",," $ 35,577.68 ",,
179,9714.548165,4537.091831,3622.555255,0,0,," $ 10,831.25 ", $ 583.47 ," $ 3,622.56 ",," $ 15,037.28 ",,
180,8927.419673,4169.470591,3329.035021,0,0,," $ 9,953.64 ", $ 536.19 ," $ 3,329.04 ",," $ 13,818.87 ",,
181,12539.74642,5856.575119,4676.071758,0,0,," $ 13,981.21 ", $ 753.16 ," $ 4,676.07 ",," $ 19,410.44 ",,
182,8860.501699,4138.217156,3304.081307,0,0,," $ 9,879.03 ", $ 532.17 ," $ 3,304.08 ",," $ 13,715.29 ",,
183,11489.10194,5365.881115,4284.286401,0,0,," $ 12,809.79 ", $ 690.05 ," $ 4,284.29 ",," $ 17,784.13 ",,
184,7185.917478,3356.117746,2679.628809,0,0,," $ 8,011.95 ", $ 431.60 ," $ 2,679.63 ",," $ 11,123.18 ",,
185,10921.00873,5100.558322,4072.44443,0,0,," $ 12,176.40 ", $ 655.93 ," $ 4,072.44 ",," $ 16,904.77 ",,
186,10191.33601,4759.771283,3800.349456,0,0,," $ 11,362.85 ", $ 612.11 ," $ 3,800.35 ",," $ 15,775.30 ",,
187,8183.185019,3821.882529,3051.5099,0,0,," $ 9,123.85 ", $ 491.49 ," $ 3,051.51 ",," $ 12,666.86 ",,
188,14938.5456,6976.912571,5570.584031,0,0,," $ 16,655.75 ", $ 897.23 ," $ 5,570.58 ",," $ 23,123.57 ",,
189,7752.501743,3620.735801,2890.908095,0,0,," $ 8,643.66 ", $ 465.63 ," $ 2,890.91 ",," $ 12,000.20 ",,
190,16473.46719,7693.783815,6142.956332,0,0,," $ 18,367.12 ", $ 989.42 ," $ 6,142.96 ",," $ 25,499.49 ",,
191,12057.29232,5631.249292,4496.164609,0,0,," $ 13,443.30 ", $ 724.18 ," $ 4,496.16 ",," $ 18,663.64 ",,
